PLAYER	2020/21 	2020/21(*)
1.	Stephen Curry	$43,006,362	$45,325,029
2.	Russell Westbrook	$41,358,814	$43,588,654
2.	Chris Paul	$41,358,814	$43,588,654
4.	John Wall	$41,254,920	$43,479,158
4.	James Harden	$41,254,920	$43,479,158
6.	Kevin Durant	$40,108,950	$42,271,404
7.	LeBron James	$39,219,566	$41,334,069
8.	Paul George	$35,450,412	$37,361,703
9.	Klay Thompson	$35,361,360	$37,267,850
10.	Mike Conley	$34,502,132	$36,362,297
11.	Jimmy Butler	$34,379,100	$36,232,632
11.	Kawhi Leonard	$34,379,100	$36,232,632
11.	Kemba Walker	$34,379,100	$36,232,632
14.	Tobias Harris	$34,358,850	$36,211,290
15.	Blake Griffin	$33,900,241	$35,727,955
16.	Kyrie Irving	$33,722,850	$35,541,001
17.	Khris Middleton	$33,051,724	$34,833,691
18.	Anthony Davis	$32,742,000	$34,507,269
19.	Damian Lillard	$31,626,953	$33,332,104
20.	Kevin Love	$31,258,256	$32,943,529
21.	Pascal Siakam	$30,559,200	$32,206,784
21.	Ben Simmons	$30,559,200	$32,206,784
23.	Kyle Lowry	$30,500,000	$32,144,392
24.	Steven Adams	$29,592,695	$31,188,170
25.	Joel Embiid	$29,542,010	$31,134,753
25.	Andrew Wiggins	$29,542,010	$31,134,753
25.	Nikola Jokic	$29,542,010	$31,134,753
28.	Devin Booker	$29,467,800	$31,056,542
28.	Karl-Anthony Towns	$29,467,800	$31,056,542
28.	Kristaps Porzingis	$29,467,800	$31,056,542
31.	CJ McCollum	$29,354,152	$30,936,766
32.	Bradley Beal	$28,751,774	$30,301,911
32.	Andre Drummond	$28,751,774	$30,301,911
34.	D'Angelo Russell	$28,649,250	$30,193,860
35.	Gordon Hayward	$28,500,000	$30,036,563
36.	Otto Porter	$28,489,239	$30,025,222
37.	DeMar DeRozan	$27,739,975	$29,235,562
38.	Giannis Antetokounmpo	$27,528,088	$29,012,251
39.	Rudy Gobert	$27,525,281	$29,009,293
40.	Al Horford	$27,500,000	$28,982,649
41.	Brandon Ingram	$27,285,000	$28,756,057
41.	Jamal Murray	$27,285,000	$28,756,057
43.	Jrue Holiday	$27,026,011	$28,483,105
44.	Nikola Vucevic	$26,000,000	$27,401,777
45.	Jaylen Brown	$25,035,118	$26,384,874
46.	Buddy Hield	$24,931,817	$26,276,003
47.	Draymond Green	$22,246,956	$23,446,389
48.	Harrison Barnes	$22,215,909	$23,413,668
49.	Fred VanVleet	$21,250,000	$22,395,683
50.	Victor Oladipo	$21,000,000	$22,132,204
51.	Malcolm Brogdon	$20,700,000	$21,816,030
52.	Julius Randle	$19,845,000	$20,914,933
53.	Domantas Sabonis	$19,800,000	$20,867,507
54.	Gary Harris	$19,610,714	$20,668,016
55.	Zach LaVine	$19,500,000	$20,551,333
55.	Danilo Gallinari	$19,500,000	$20,551,333
57.	Jerami Grant	$19,050,000	$20,077,071
58.	Tim Hardaway Jr	$18,975,000	$19,998,027
59.	Terry Rozier	$18,900,000	$19,918,984
60.	Aaron Gordon	$18,136,364	$19,114,177
61.	Goran Dragic	$18,000,000	$18,970,461
61.	Myles Turner	$18,000,000	$18,970,461
61.	Bogdan Bogdanovic	$18,000,000	$18,970,461
61.	Clint Capela	$18,000,000	$18,970,461
65.	Bojan Bogdanovic	$17,850,000	$18,812,374
66.	LaMarcus Aldridge	$17,628,340	$18,578,763
67.	Gorgui Dieng	$17,587,688	$18,535,919
68.	Evan Fournier	$17,150,000	$18,074,633
69.	Ricky Rubio	$17,000,000	$17,916,546
70.	Eric Bledsoe	$16,875,000	$17,784,807
71.	Eric Gordon	$16,869,267	$17,778,765
72.	Caris LeVert	$16,203,704	$17,077,318
