Year,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,ORTG,DRTG,TO_100_Games,Salary,Cap Maximum,Salary%OfCap,Traded,Center,Forward,Guard,Salary_Scaled,Salary_BoxCox,Salary_Scaled_BoxCox
2016,Chris Paul,Lac,PG,31.0,61,31.5,65.6,24.4,260,0.892,483,0.518,302,0.411,0.3977770700636943,0.614,18.1,5.0,8.8,9.2,46.8,1.97,0.13,11.9,,,14.000000000000002,22868827.0,94143000,0.2429,0,0,0,1,27307142.52124959,88.79929159449377,119.87774527709486
2018,Dillon Brooks,Mem,G-F,23.22,18,18.3,38.2,20.9,30,0.733,82,0.415,40,0.375,0.3404098360655738,0.499,7.5,1.7,5.3,0.9,7.6,0.56,0.22,4.9,94.2,98.5,12.3,1378242.0,101869000,0.0135,0,0,1,1,1520911.1328078217,54.242165417680184,68.43650346846894
2013,Brian Roberts,Nor,PG,28.0,72,22.9,47.3,20.2,133,0.94,402,0.448,178,0.36,0.365751724137931,0.53,9.4,1.9,4.8,3.3,22.5,0.6,0.1,6.8,,,13.0,788872.0,58679000,0.0134,0,0,0,1,1511277.5781455035,49.04969536047565,68.3506441774915
2021,Jalen Smith,Pho,F-C,22.02,45,19.0,39.5,19.8,88,0.7595000000000001,183,0.6165,99,0.3155,0.45478863579159323,0.6075,9.7,6.449999999999999,18.8,0.6,4.2,0.295,0.78,6.550000000000001,121.9,101.30000000000001,10.3,4458000.0,112414000,0.0397,0,1,1,0,4458000.0,66.81481378888174,84.5046220803395
2019,Noah Vonleh,Min,F,24.98,36,8.15,17.0,13.9,32,0.6605,77,0.7125,15,0.5715,0.6424476744186046,0.7215,3.0,2.55,16.200000000000003,0.6,10.100000000000001,0.19,0.105,8.1,127.6,102.55000000000001,18.0,2000000.0,109140000,0.0183,0,0,1,0,2059996.3349825914,57.97588482771508,72.6543823275471
2018,Meyers Leonard,Por,F-C,27.12,61,14.4,30.0,14.8,51,0.843,131,0.626,111,0.45,0.4420702479338843,0.675,5.9,3.8,14.2,1.2,11.8,0.21,0.15,8.3,129.2,100.1,14.0,10595506.0,101869000,0.104,0,1,1,0,11692302.972287938,77.73352023252014,101.8613519390846
2016,Joe Ingles,Uta,SF,29.0,82,24.1,50.1,13.9,68,0.735,172,0.471,279,0.441,0.3160343680709534,0.604,7.1,3.2,7.6,2.7,17.2,1.16,0.1,6.5,,,18.2,2100000.0,94143000,0.0223,0,0,1,0,2507561.900513049,58.481931588439075,75.51536473336625
2018,Donovan Mitchell,Uta,G,22.59,77,33.7,70.3,31.6,396,0.806,1010,0.468,520,0.362,0.37045751633986923,0.537,23.8,4.1,6.6,4.2,21.2,1.38,0.4,8.8,104.6,101.3,11.3,3111480.0,101869000,0.0305,0,0,0,1,3433565.7827209453,62.70809671122333,80.3080317075902
2014,Will Bynum,Was,SG,32.0,7,9.5,19.9,28.2,4,0.5,22,0.455,9,0.0,0.3229032258064516,0.336,3.1,0.9,5.1,2.6,42.4,0.14,0.14,8.2,,,19.6,2915908.0,63065000,0.0462,0,0,0,1,5197635.485800364,61.991726572231364,87.06704089278956
2018,Marcus Morris,Bos,F,29.61,75,27.9,58.1,20.9,173,0.844,455,0.508,389,0.375,0.3602813981042654,0.568,13.9,6.1,11.7,1.5,7.5,0.57,0.33,7.2,110.5,102.5,9.1,5375000.0,101869000,0.0528,0,0,1,0,5931394.7324505,69.04690312839635,89.3297499501177
