Player,Year,Salary
Stephen Curry,2021,45780966
John Wall,2021,44310840
James Harden,2021,44310840
Russell Westbrook,2021,44211146
Kevin Durant,2021,42018900
LeBron James,2021,41180544
Paul George,2021,39344970
Kawhi Leonard,2021,39344900
Giannis Antetokounmpo,2021,39344900
Damian Lillard,2021,39344900
Klay Thompson,2021,37980720
Jimmy Butler,2021,36016200
Tobias Harris,2021,35995950
Khris Middleton,2021,35500000
Anthony Davis,2021,35361360
Kyrie Irving,2021,35053700
Kemba Walker,2021,34967442
Rudy Gobert,2021,34844000
Bradley Beal,2021,33724200
Ben Simmons,2021,33003936
Pascal Siakam,2021,33003936
Jrue Holiday,2021,32431333
Blake Griffin,2021,32405817
Karl-Anthony Towns,2021,31650600
Devin Booker,2021,31650600
Kristaps Porzingis,2021,31650600
Nikola Jokic,2021,31579390
Andrew Wiggins,2021,31579390
Joel Embiid,2021,31579390
Kevin Love,2021,31258256
CJ McCollum,2021,30864198
Chris Paul,2021,30800000
D'Angelo Russell,2021,30013500
Gordon Hayward,2021,29925000
Jamal Murray,2021,29467800
Brandon Ingram,2021,29467800
Jayson Tatum,2021,28103500
Bam Adebayo,2021,28103500
De'Aaron Fox,2021,28103500
Donovan Mitchell,2021,28103500
Al Horford,2021,27000000
Kyle Lowry,2021,26984128
Jaylen Brown,2021,26758928
DeMar DeRozan,2021,26000000
Draymond Green,2021,24026712
Nikola Vucevic,2021,24000000
Buddy Hield,2021,23073234
John Collins,2021,23000000
Julius Randle,2021,21780000
Malcolm Brogdon,2021,21700000
Tim Hardaway Jr,2021,21306816
Mike Conley,2021,21000000
Gary Harris,2021,20932143
Danilo Gallinari,2021,20475000
Harrison Barnes,2021,20284091
Jerami Grant,2021,20002500
Jarrett Allen,2021,20000000
Fred VanVleet,2021,19675926
Zach LaVine,2021,19500000
Goran Dragic,2021,19348907
Bojan Bogdanovic,2021,18700000
Lonzo Ball,2021,18604651
Clint Capela,2021,18603448
Domantas Sabonis,2021,18500000
Eric Gordon,2021,18218818
Eric Bledsoe,2021,18125000
Bogdan Bogdanovic,2021,18000000
Myles Turner,2021,18000000
Terry Rozier,2021,17905263
Ricky Rubio,2021,17800000
Caris LeVert,2021,17500000
Jonathan Isaac,2021,17400000
Joe Harris,2021,17357143
Spencer Dinwiddie,2021,17142857
Evan Fournier,2021,17142857
Steven Adams,2021,17073171
Markelle Fultz,2021,16500000
Aaron Gordon,2021,16409091
OG Anunoby,2021,16071429
Gary Trent Jr,2021,16000000
Davis Bertans,2021,16000000
Lauri Markkanen,2021,15690909
Derrick White,2021,15678571
Duncan Robinson,2021,15650000
Marcus Morris,2021,15627907
Will Barton,2021,15625000
Norman Powell,2021,15517242
Dejounte Murray,2021,15428880
Malik Beasley,2021,14491964
Marcus Smart,2021,14339285
Patrick Beverley,2021,14320987
Thaddeus Young,2021,14190000
Jonas Valanciunas,2021,14000000
Doug McDermott,2021,13750000
Christian Wood,2021,13666667
Derrick Rose,2021,13445120
Brook Lopez,2021,13302325
Kentavious Caldwell-Pope,2021,13038862
Joe Ingles,2021,13036364
Kyle Kuzma,2021,13000000
Taurean Prince,2021,13000000
Robert Covington,2021,12975471
