mean_fit_time,mean_score_time,params,mean_test_score,std_test_score,Model Type,Variables Used
6.27,0.09,"{'max_depth': 25, 'max_features': 10, 'n_estimators': 250}",9.15,0.2,Random Forest,All
1.37,0.61,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",9.42,0.23,SVM,All
0.01,0.15,"{'n_neighbors': 20, 'p': 2, 'weights': 'distance'}",9.73,0.22,KNN,All
10.46,0.16,"{'learning_rate': 0.01, 'n_estimators': 500}",9.78,0.2,AdaBoost DT Regression,All
0.01,0.0,{'alpha': 0.1},9.87,0.3,Ridge Regression,All
0.93,0.0,"{'alpha': 0.001, 'l1_ratio': 0.9}",9.88,0.29,Elastic Net Regression,All
0.16,0.0,{'alpha': 0.001},9.88,0.29,Lasso Regression,All
1.23,0.56,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",10.84,0.31,SVM,Subset
0.01,0.05,"{'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}",10.93,0.35,KNN,Subset
0.01,0.0,{'fit_intercept': True},11.39,0.31,Linear Regression,Subset
